question,answer,category
RAG nedir ve ne işe yarar?,"RAG (Retrieval-Augmented Generation), büyük dil modellerinin bilgi üretme kapasitesini harici bilgi kaynaklarıyla zenginleştiren bir mimari yaklaşımdır. LLM'lerin halüsinasyon sorununu azaltarak daha güvenilir cevaplar üretilmesini sağlar.",Temel Kavramlar
Embedding nedir?,"Embedding, metin parçalarını yüksek boyutlu sayısal vektörlere dönüştürme işlemidir. Bu vektörler metnin anlamsal içeriğini yakalayarak benzer kavramların vektör uzayında birbirine yakın konumlanmasını sağlar.",Temel Kavramlar
Vektör veritabanı ne işe yarar?,"Vektör veritabanları, embedding vektörlerini depolayıp hızlı benzerlik araması yapmak için optimize edilmiş özel veritabanlarıdır. ChromaDB, Pinecone, Weaviate, Qdrant ve Milvus popüler örneklerdir.",Altyapı
ChromaDB'nin avantajları nelerdir?,"ChromaDB Python-native, sıfır yapılandırma gerektiren hafif bir vektör veritabanıdır. Yerel geliştirme ve prototipleme için idealdir. Kalıcı depolama ve kosinüs benzerliği araması destekler.",Altyapı
Chunking stratejileri nelerdir?,"Yaygın chunking yöntemleri: sabit boyutlu chunking, cümle bazlı chunking, örtüşmeli (overlapping) chunking, semantik chunking ve tablo bazlı (row-based) chunking. Önerilen chunk boyutu 256-1024 token arasıdır.",Veri Hazırlama
Reranking nedir ve neden önemlidir?,"Reranking, ilk arama sonuçlarını cross-encoder gibi daha sofistike bir model ile yeniden sıralama işlemidir. Alakasız sonuçları eleyerek ve sıralama kalitesini artırarak LLM'e gönderilen bağlamı iyileştirir.",İleri Teknikler
Classical RAG ile Agentic RAG arasındaki fark nedir?,"Classical RAG sabit bir pipeline izler (sorgu → arama → bağlam → cevap). Agentic RAG ise bir ajan döngüsü kullanır; LLM hangi aracı kullanacağına otonom karar verir ve birden fazla kaynağı birleştirebilir.",Mimari
Faithfulness metriği neyi ölçer?,"Faithfulness, üretilen cevabın getirilen bağlama ne kadar sadık olduğunu ölçer. Yüksek faithfulness skoru, cevabın bağlamdaki bilgilere dayandığı ve uydurma bilgi içermediği anlamına gelir.",Değerlendirme
Context Precision metriği neyi ölçer?,"Context Precision, getirilen chunk'ların soruyla ne kadar alakalı olduğunu ölçer. Yüksek precision, gereksiz veya alakasız chunk'ların getirilmediği anlamına gelir.",Değerlendirme
Answer Relevancy metriği neyi ölçer?,"Answer Relevancy, üretilen cevabın sorulan soruyla ne kadar alakalı olduğunu ölçer. Düşük skor, cevabın sorudan sapma gösterdiğini veya eksik bilgi içerdiğini gösterir.",Değerlendirme
HyDE tekniği nasıl çalışır?,"HyDE (Hypothetical Document Embeddings), LLM'den varsayımsal bir cevap üretmesini ister ve bu cevabın embedding'i ile vektör araması yapar. Bu sayede sorgu ile belge arasındaki anlamsal boşluk azalır.",İleri Teknikler
Hybrid Search nedir?,"Hybrid Search, vektör tabanlı semantik arama ile anahtar kelime tabanlı (BM25) aramayı birleştiren bir yaklaşımdır. Her iki yöntemin güçlü yanlarını kullanarak daha kapsamlı sonuçlar elde edilir.",İleri Teknikler
OCR RAG sistemlerinde nasıl kullanılır?,"OCR (Optical Character Recognition), taranmış belgelerdeki metni dijital formata dönüştürür. PaddleOCR, Tesseract veya bulut Vision API'leri (Gemini, Claude Vision) ile RAG pipeline'ına entegre edilebilir.",Veri Hazırlama
LLM halüsinasyonu nedir?,"LLM halüsinasyonu, modelin eğitim verisinde olmayan veya yanlış bilgileri gerçekmiş gibi üretmesidir. RAG bu sorunu azaltır çünkü model cevap üretirken somut kaynaklara dayanır.",Temel Kavramlar
Sentence-aware chunking nasıl çalışır?,"Sentence-aware chunking, metni cümle sınırlarına göre böler. Bir cümlenin ortasından kesmek yerine tam cümleleri koruyarak chunk'lar oluşturur. Bu sayede her chunk anlamsal bütünlüğünü korur.",Veri Hazırlama
